Device,Timestamp,Latitude,Longitude,Speed,Heading
RockBLOCK 14438,2018-09-19 04:40:35,82.12316333333334,20.72,0.58,268.68
RockBLOCK 14438,2018-09-19 08:57:37,82.12842666666667,20.566486666666666,0.27,236.15
RockBLOCK 14438,2018-09-19 13:11:26,82.11365666666667,20.398845,0.57,249.28
RockBLOCK 14438,2018-09-19 17:25:17,82.11238,20.164141666666666,0.18,264.84
RockBLOCK 14438,2018-09-19 21:39:32,82.09468166666667,20.07488,0.6,209.3
RockBLOCK 14438,2018-09-20 01:52:26,82.08397333333333,19.855248333333332,0.35,261.29
RockBLOCK 14438,2018-09-20 06:07:29,82.09312166666666,19.647521666666666,0.5,313.0
RockBLOCK 14438,2018-09-20 10:23:29,82.09011333333333,19.598585,0.51,201.72
RockBLOCK 14438,2018-09-20 18:53:34,82.05724166666667,18.992298333333334,0.23,252.59
RockBLOCK 14438,2018-09-20 23:07:03,82.05170833333334,18.879948333333335,0.34,240.73
RockBLOCK 14438,2018-09-21 03:20:27,82.04155,18.712608333333332,0.56,253.93
RockBLOCK 14438,2018-09-21 07:34:50,82.029205,18.484796666666668,0.37,290.64
RockBLOCK 14438,2018-09-21 11:50:03,82.024775,18.376686666666668,0.43,243.8
RockBLOCK 14438,2018-09-21 16:05:13,82.00586,18.119511666666668,0.68,259.42
RockBLOCK 14438,2018-09-21 19:56:36,82.01347333333334,17.875991666666668,0.35,304.64
RockBLOCK 14438,2018-09-22 00:10:05,82.01644833333333,17.914565,0.31,164.26
RockBLOCK 14438,2018-09-22 04:24:05,82.00438666666666,17.791305,0.55,285.88
RockBLOCK 14438,2018-09-22 12:52:11,82.02295166666667,17.599445,0.62,241.56
RockBLOCK 14438,2018-09-22 17:05:49,82.016125,17.406531666666666,0.38,275.81
RockBLOCK 14438,2018-09-22 21:20:35,82.02937833333333,17.212101666666666,0.35,313.88
RockBLOCK 14438,2018-09-23 01:34:50,82.03560166666666,17.069943333333335,0.33,290.13
RockBLOCK 14438,2018-09-23 05:48:46,82.041155,16.66534,1.2,272.05
RockBLOCK 14438,2018-09-23 10:03:13,82.055025,16.099031666666665,1.27,262.74
RockBLOCK 14438,2018-09-23 14:18:42,82.02697666666667,15.521423333333333,1.56,283.88
RockBLOCK 14438,2018-09-23 18:34:29,82.01396166666666,14.949236666666666,0.54,240.32
RockBLOCK 14438,2018-09-23 22:49:16,81.98741166666667,14.485241666666667,0.81,231.72
RockBLOCK 14438,2018-09-24 03:07:28,81.95023833333333,14.135873333333333,1.47,290.19
RockBLOCK 14438,2018-09-24 11:40:42,81.88182333333333,13.739541666666666,1.09,287.77
RockBLOCK 14438,2018-09-24 15:54:21,81.84493166666667,13.531378333333333,0.35,211.11
RockBLOCK 14438,2018-09-24 20:08:50,81.82534833333334,13.437268333333334,2.32,213.37
RockBLOCK 14438,2018-09-25 00:24:00,81.78599333333334,13.417298333333333,0.99,139.67
RockBLOCK 14438,2018-09-25 04:44:14,81.73807,13.338893333333333,0.26,156.95
RockBLOCK 14438,2018-09-25 08:59:16,81.68608666666667,13.28695,0.7,135.64
RockBLOCK 14438,2018-09-25 13:13:49,81.61407666666666,13.201791666666667,0.2,175.62
RockBLOCK 14438,2018-09-25 20:51:29,81.47746,13.287465,1.5,142.97
RockBLOCK 14438,2018-09-26 04:00:43,81.349075,13.39103,0.78,209.49
